name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexico",2020-01-01,71.5,54.1,62,71.5,54.1,62,51,70.4,0.152,100,37.5,rain,,,33.6,18.6,198.5,1010.9,80.2,7.9,108.4,9.3,6,,2020-01-01T07:32:13,2020-01-01T18:25:30,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-02,67.2,47.9,57.1,67.2,47.9,57.1,47.9,74.1,1.437,100,12.5,rain,,,20.1,17.7,234.4,1010.5,44.4,7,182.3,15.7,7,,2020-01-02T07:32:32,2020-01-02T18:26:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-03,73.3,35.5,53.3,73.3,35.5,53.3,36.2,60.8,0,0,0,,,,,8.1,297.2,1018.3,28.3,8.3,202.2,17.4,7,,2020-01-03T07:32:50,2020-01-03T18:26:46,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-04,69.5,39.1,53.1,69.5,34.9,52,29.1,45.3,0,0,0,,,,15.7,13.4,60.8,1022.8,52.3,9.1,176.9,15.3,7,,2020-01-04T07:33:06,2020-01-04T18:27:24,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-05,73.3,32.1,53.3,73.3,28.7,52.1,25.3,40.3,0,0,0,,,,,11.9,69.7,1025.7,24,8.9,220.5,19.1,8,,2020-01-05T07:33:22,2020-01-05T18:28:03,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-06,75.1,37.1,55.7,75.1,32.5,54.9,29.9,44.1,0,0,0,,,,,9.2,28.8,1020.5,41.9,7.8,210.7,18.3,8,,2020-01-06T07:33:36,2020-01-06T18:28:42,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-07,76.9,44.5,58.6,76.9,44.5,58.5,33.5,45,0,0,0,,,,,12.3,89.4,1017.3,52.6,8.5,145.1,12.4,6,,2020-01-07T07:33:49,2020-01-07T18:29:22,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-08,76.4,40.4,57.4,76.4,36.2,56.4,38,52.5,0,0,0,,,,,7.8,65.2,1019.3,28.3,7.7,200,17.3,7,,2020-01-08T07:34:01,2020-01-08T18:30:02,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-09,77.6,44.3,61.1,77.6,44.3,61.1,44.4,57.7,0,0,0,,,,,9.2,263.2,1017.3,25.6,7.6,200.1,17.3,8,,2020-01-09T07:34:11,2020-01-09T18:30:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-10,77.1,46.3,61.2,77.1,46.3,61.2,41.9,55.7,0,0,0,,,,,9.4,254.4,1015.7,39.9,9.2,185.8,16,7,,2020-01-10T07:34:21,2020-01-10T18:31:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-11,79.8,46.5,62.5,79.8,44.3,62.4,38.9,47.1,0,0,0,,,,,6.9,142.3,1013.9,54.9,8.1,222.7,19.4,8,,2020-01-11T07:34:29,2020-01-11T18:32:02,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,F0749,76612099999,remote"
"Tequila, Mexico",2020-01-12,78.7,42.7,61,78.7,42.7,60.8,41.3,53.3,0,0,0,,,,,11.4,345.3,1016.7,72.1,7.5,163,14.1,7,,2020-01-12T07:34:35,2020-01-12T18:32:43,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,F0749,76612099999,remote"
"Tequila, Mexico",2020-01-13,80.1,44.5,62.5,79.2,44.5,62.4,42.3,52.1,0,0,0,,,,,5.8,36.1,1015.3,72.4,8.5,202.8,17.5,8,,2020-01-13T07:34:41,2020-01-13T18:33:23,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,F0749,76612099999,remote"
"Tequila, Mexico",2020-01-14,80.7,42.9,62,80,42.9,62,41.9,52.4,0,0,0,,,,,7.2,6.6,1017.4,66,7.2,195.1,17.1,8,,2020-01-14T07:34:45,2020-01-14T18:34:04,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,F0749,76612099999,remote"
"Tequila, Mexico",2020-01-15,79.8,51,64.4,79.8,51,64.4,45.8,53.2,0,0,0,,,,,6.9,75.3,1014.6,86,7.9,159.4,14,7,,2020-01-15T07:34:48,2020-01-15T18:34:44,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,F0749,76612099999,remote"
"Tequila, Mexico",2020-01-16,79.6,51.5,65.2,79.6,51.5,65.2,49.3,59.8,0,0,0,,,,,6.3,291.2,1012.6,66.7,7.1,180.5,15.5,8,,2020-01-16T07:34:49,2020-01-16T18:35:25,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,F0749,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-17,77,53.5,65.6,77,53.5,65.6,50.9,63.1,0.103,100,8.33,rain,,,,6.3,333.3,1012.8,76.8,7.7,169.7,14.8,7,,2020-01-17T07:34:49,2020-01-17T18:36:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-18,78.9,50.1,64.9,78.9,50.1,64.9,49.6,61.4,0,0,0,,,,,7.2,25.8,1017.3,75.7,8.1,151.2,13.1,6,,2020-01-18T07:34:48,2020-01-18T18:36:46,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-19,78.9,57,66.4,78.9,57,66.4,50.8,60,0.016,100,16.67,rain,,,,11.2,75.5,1016.9,68.6,7.7,172.6,14.8,7,,2020-01-19T07:34:46,2020-01-19T18:37:27,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-20,78.7,52.7,64.2,78.7,52.7,64.2,49.4,61.7,0,0,0,,,,,11.4,70.2,1019.4,40.8,8.7,177.5,15.4,7,,2020-01-20T07:34:42,2020-01-20T18:38:07,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-21,77.4,48.5,63.1,77.4,46.5,62.9,46.3,58.7,0,0,0,,,,,8.1,83.2,1019.8,12.4,7.7,196.3,16.9,8,,2020-01-21T07:34:37,2020-01-21T18:38:47,0.89,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-22,77.1,53.1,64.6,77.1,53.1,64.6,47.1,59.8,0,0,0,,,,26.8,15,256.8,1011.8,46.6,9,221.1,19.2,8,,2020-01-22T07:34:30,2020-01-22T18:39:27,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,F0749,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-23,69.5,52.4,60.1,69.5,52.4,60.1,47,64.7,0,0,0,,,,,4.9,215.7,1010.8,74.6,7.4,121,10.6,4,,2020-01-23T07:34:22,2020-01-23T18:40:07,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-24,75.6,44.5,61.3,75.6,44.5,61.3,46.2,62,0,0,0,,,,,5.6,198.6,1014.6,61.3,7.2,204.7,17.7,8,,2020-01-24T07:34:13,2020-01-24T18:40:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-25,74.9,55.3,63.3,74.9,55.3,63.3,49.9,65.7,0,0,0,,,,15.7,10.7,230.1,1012.4,73.7,8.9,157.3,13.6,8,,2020-01-25T07:34:03,2020-01-25T18:41:25,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-26,73.3,53.3,61.9,73.3,53.3,61.9,48.5,65.5,0.024,100,4.17,rain,,,25.3,11.4,264.5,1013.7,55.8,8.2,169.3,14.6,8,,2020-01-26T07:33:51,2020-01-26T18:42:04,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-27,75.6,44.6,58.7,75.6,44.6,58.7,40.8,60,0,0,0,,,,,6.9,257.3,1016.1,10.2,8.2,227.5,19.8,9,,2020-01-27T07:33:38,2020-01-27T18:42:43,0.09,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-28,77.4,43.8,58.3,77.4,41.7,58.1,37.2,53.9,0,0,0,,,,,10.3,272.2,1013.3,10.1,7.3,221.8,19.2,9,,2020-01-28T07:33:23,2020-01-28T18:43:21,0.12,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-29,78.7,42.7,60.1,78.7,39.2,59.8,34.1,45.6,0,0,0,,,,27.7,16.1,184.5,1012.5,23.2,8.2,225.1,19.5,9,,2020-01-29T07:33:08,2020-01-29T18:43:59,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-30,72.1,49.9,58,72.1,49.1,58,46,67.2,0,0,0,,,,20.1,15.4,232.2,1013.8,77.3,7.8,133.2,11.7,8,,2020-01-30T07:32:51,2020-01-30T18:44:37,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-01-31,73.5,46.3,58.2,73.5,46.3,58,38.6,57.5,0,0,0,,,,,11.4,241.4,1016.1,88.8,8.3,108.4,9.4,5,,2020-01-31T07:32:32,2020-01-31T18:45:14,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-02-01,69.2,49,58.2,69.2,47.1,58.1,35.4,44.6,0,0,0,,,,20.1,10.3,43.3,1017.5,92.4,8,86.8,7.6,4,,2020-02-01T07:32:13,2020-02-01T18:45:51,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-02-02,72.8,47.7,59.1,72.8,45.1,58.9,44.1,59.3,0.128,100,50,rain,,,,9.2,241.6,1020.4,81.8,8.5,67.4,5.9,4,,2020-02-02T07:31:52,2020-02-02T18:46:27,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-02-03,61.6,50.3,55,61.6,50.3,55,51.3,87.7,1.142,100,16.67,rain,,,,13.2,231.4,1019,75.8,4.9,69.4,5.9,4,,2020-02-03T07:31:30,2020-02-03T18:47:03,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-02-04,69.7,48.5,59.7,69.7,47.4,59.5,52.7,79.5,0.63,100,16.67,rain,,,,13.4,223,1015.4,62.3,7.6,170.5,14.7,7,,2020-02-04T07:31:07,2020-02-04T18:47:39,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"MMGL,76613399999,76612099999,F0752,remote"
