index,count,title,brand,Rating,Panel,community,avgscore,NOM,Previous NOM,Agave_Region,Region,Cooking,Extraction,Water_Source,Fermentation,Distillation,Still,Aging,ABVorProof,Other,aromas1c,aromas1t,aromas2c,aromas2t,aromas3c,aromas3t,aromas4c,aromas4t,aromas5c,aromas5t,aromas6c,aromas6t,aromas7c,aromas7t,aromas8c,aromas8t,aromas9c,aromas9t,aromas10c,aromas10t,aromas11c,aromas11t,aromas12c,aromas12t,flavors1c,flavors1t,flavors2c,flavors2t,flavors3c,flavors3t,flavors4c,flavors4t,flavors5c,flavors5t,flavors6c,flavors6t,flavors7c,flavors7t,flavors8c,flavors8t,flavors9c,flavors9t,flavors10c,flavors10t,flavors11c,flavors11t,flavors12c,flavors12t
32,1,Ayate Reposado,Ayate,37,80,83,81.5,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Copper Pot,American White Oak barrels Wine casks New barrels Used barrels,40% abv (80-proof),-,3,Alcohol,2,Fruity,2,Vanilla,1,Caramel,1,Cedar,1,Pine Tree,1,Orange Peel,1,Lemongrass,1,Rose,1,Jasmine,1,Honey,1,Smoke,2,Alcohol,2,Vanilla,2,Agave (cooked),1,Baking Spice,1,Pepper (black),1,Cedar,1,Pine Tree,1,Oak,1,Pineapple,1,Orange Peel,1,Black Tea,1,Hay
33,1,Ayate Añejo,Ayate,49,80,83,81.5,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Copper Pot,American White Oak barrels Wine casks New barrels Used barrels French Oak barrels,40% abv (80-proof),-,7,Oak,4,Agave (cooked),3,Butterscotch,3,Dried Fruit,3,Whiskey,3,Fruity,3,Vanilla,2,Caramel,2,Baking Spice,2,Cinnamon,2,Alcohol,1,Nutmeg,7,Oak,4,Agave (cooked),4,Fruity,4,Vanilla,3,Butterscotch,3,Caramel,3,Dried Fruit,3,Whiskey,3,Alcohol,1,Nutmeg,1,Baking Spice,1,Cinnamon
185,1,Caballero Aguila Reposado,Caballero Aguila,1,,45,22.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1,Capa y Espada Tequila Reposado,Capa y Espada,1,,71,35.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,1,Corralejo Reposado,Corralejo,958,67,75,71,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof) 35-39% abv (70-78 proof),-,32,Agave (cooked),20,Alcohol,15,Pepper (black),15,Caramel,13,Smoke,10,Oak,10,Vanilla,8,Butter,7,Earth,6,Honey,5,Plastic,5,Citrus,32,Agave (cooked),25,Pepper (black),17,Alcohol,16,Oak,15,Smoke,14,Caramel,12,Vanilla,8,Earth,7,Butter,7,Citrus,5,Honey,5,Astringent
729,1,Corralejo Blanco,Corralejo,269,66,70,68,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,14,Alcohol,8,Agave (raw),8,Pepper (black),7,Citrus,6,Agave (cooked),5,Flowers,4,Vegetal,3,Grass,3,Mint,3,Lime,2,Apple (green),2,Astringent,14,Alcohol,11,Pepper (black),8,Agave (cooked),7,Agave (raw),6,Citrus,4,Tropical Fruits,4,Vegetal,4,Mint,3,Pineapple,3,Earth,3,White Pepper,2,Grass
730,1,Corralejo Añejo,Corralejo,310,67,75,71,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,15,Vanilla,13,Oak,12,Agave (cooked),8,Caramel,8,Alcohol,5,Pepper (black),4,Citrus,4,Cinnamon,4,Smoke,3,Cherry,2,Cider,2,Cocoa,14,Vanilla,11,Alcohol,11,Oak,10,Agave (cooked),9,Caramel,5,Pepper (black),5,Cinnamon,4,Citrus,4,Cherry,4,Smoke,3,Whiskey,2,Vegetal
732,1,"Corralejo 99,000 Horas",Corralejo,183,75,81,78,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,10,Agave (cooked),6,Oak,6,Vanilla,5,Caramel,4,Butterscotch,3,Cinnamon,3,Nuts,2,Grass,2,Dried Fruit,2,Whiskey,1,Wet Cement,1,Rubber,10,Vanilla,9,Oak,7,Agave (cooked),6,Cinnamon,6,Caramel,3,Butterscotch,3,Medicinal,2,Pepper (black),2,Nuts,2,Whiskey,2,Almond,2,Citrus
733,1,Gran Corralejo,Corralejo,96,77,79,78,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,2,Agave (cooked),2,Butterscotch,2,Oak,2,Barrel Spice,2,Honey,1,Clove,1,Fruity,1,Baking Spice,1,Vanilla,1,Pepper (black),1,Cinnamon,1,Nuts,3,Agave (cooked),3,Barrel Spice,3,Honey,2,Butterscotch,2,Vanilla,2,Pepper (black),2,Oak,2,Nuts,2,Caramel,1,Clove,1,Fruity,1,Baking Spice
734,1,Corralejo 1821 Extra Añejo,Corralejo,60,81,82,81.5,1368,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,American White Oak barrels,40% abv (80-proof),-,5,Oak,5,Vanilla,4,Caramel,3,Cinnamon,2,Agave (raw),2,Citrus,2,Orange Peel,2,Butterscotch,1,Butter,1,Earth,1,Dried Fruit,1,Hay,5,Pepper (black),5,Vanilla,5,Oak,4,Agave (cooked),4,Caramel,2,Citrus,2,Clove,2,Nutmeg,2,Cinnamon,2,Butterscotch,1,Earth,1,Grass
