Rank,Change,Owner,NOM,Avg Rating,Number of Ratings ,Number of Brands,Region,Brand 1,Brand 2,Brand 3,Brand 4,Brand 5
1,--,"Tequila Los Abuelos, S.A. de C.V.",1493,87.89,9887,2,Jalisco (Los Valles),Fortaleza, Los Abuelos,,,
2,--,"Destileria El Pandillo, S.A. de C.V.",1579,87.69,5912,6,Jalisco (Los Altos Southern),G4, Tequila Terralta, Volans, ArteNOM Selección de 1579, Primo 1861
3,--,"Tequila Cascahuin, S.A.",1123,87.13,4605,14,Jalisco (Los Valles),Cascahuín, Siembra Valles, Wild Common, ArteNOM Selección de 1123, Montagave
4,1,"Tequila Siete Leguas, S.A. de C.V.",1120,86.33,3422,1,Jalisco (Ciénega),Siete Leguas,,,,
5,11,"Tequilas El Mexicano, S.A. De C.V.",1588,86.27,391,6,Jalisco (Los Altos Southern),Dos Artes, El Mexicano, Mala Vida, Senor Artesano,
6,--,"Cía. Tequilera Los Alambiques, S.A. de C.V.",1474,86.25,5159,3,Jalisco (Los Altos Southern),Tequila Ocho, El Primer Curado De Don Tomas, Trago, Charbay,
7,--,Familia Landeros S.C. de R.L. de C.V.,1599,86.01,849,4,Jalisco (Los Valles),Cazcanes, Atanasio,,,
8,-4,"Tequila Casa de Los Gonzalez, S.A. de C.V.",1518,85.99,216,15,Jalisco (Ciénega),Reserva de Los Gonzalez, Francisco J. Gonzalez G,,,
9,-1,"Tequila Tapatio, S.A. de C.V. (La Alteña)",1139,85.65,8020,3,Jalisco (Los Altos Southern),El Tesoro de Don Felipe, Tapatio, Villa Lobos, Excellia,
10,1,"Tequileña, S.A. de C.V.",1146,85.43,5463,12,Jalisco (Los Valles),Don Fulano, Fuenteseca, Cimarron, Tears of Llorona, ArteNOM Selección de 1146
11,-2,"Tequila El Tepozan, S.A. De C.V.",1584,85.36,904,7,Jalisco (Los Altos Southern),Pasote, Tepozán, Tequila Corcel, Don Chencho,
12,3,"Grupo Tequilero Mexico, S.A. de C.V.",1468,85.24,1485,13,Jalisco (Los Altos Southern),LALO, Alquimia, CaliFino Tequila, Bandero Tequila, PM Spirits Tequila
13,--,"Feliciano Vivanco y Asociados, S.A. de C.V.",1414,84.92,3448,27,Jalisco (Los Altos Southern),Gran Dovejo, Siembra Azul, ArteNOM Selección de 1414, Yeyo, Viva Mexico
14,-4,"Jorge Salles Cuervo y Sucesores, S.A. de C.V.",1108,84.91,3059,1,Jalisco (Los Valles),El Tequileño,,,,
15,-1,"Tequilera Simbolo, S.A. de C.V.",1530,84.8,1430,1,Jalisco (Ciénega),Suerte Tequila, A Media Luz,,,
16,-4,"Casa Tradición, S.A. De C.V.",1595,84.69,2859,3,Jalisco (Central),Clase Azul, La Pinta Pomegranate Infused Tequila,,,
17,10,Casa Reyes Barajas S.A. de C.V.,1507,84.28,90,8,Jalisco (Los Valles),Dano's Dangerous Tequila, Tequila RB D'Reyes Reserva, Jesus Reyes,,
