name,DateMonth,DateDay,DateYear,,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,stations
"Tequila, Mexico",12,1,2021,7/13/17,79.4,53.7,64.4,79.4,53.7,64.4,51.8,67,0,0,0,,,5.8,45.9,1017.6,54.1,8,127.5,10.9,6,,2021-12-01T07:15:59,2021-12-01T18:13:06,0.91,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,2,2021,,80.5,46.5,64.3,79,46.5,64.1,44.1,53.6,0,0,0,,,11.2,92.3,1018.1,26.8,8.3,213.7,18.6,7,,2021-12-02T07:16:38,2021-12-02T18:13:14,0.95,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,3,2021,,79.2,49.1,64.7,79.2,49.1,64.7,45.2,52.4,0,0,0,,,6.7,61.9,1015.9,48.7,7.6,207.6,17.8,8,,2021-12-03T07:17:17,2021-12-03T18:13:23,0.98,Partially cloudy,Clearing in the afternoon.,"MMGL,76612099999,remote"
"Tequila, Mexico",12,4,2021,,80.7,44.5,64.3,79.4,44.5,64.1,43,50.8,0,0,0,,,5.6,65.3,1021.9,38,7.8,190.7,16.4,7,,2021-12-04T07:17:55,2021-12-04T18:13:34,0,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,remote,F6804"
"Tequila, Mexico",12,5,2021,,78.9,42.7,63.1,78.9,42.7,63.1,48.1,61.3,0,0,0,,,8.7,247.2,1021.5,49.5,7.3,184.2,15.8,8,,2021-12-05T07:18:34,2021-12-05T18:13:46,0.05,Partially cloudy,Becoming cloudy in the afternoon.,"MMGL,F0749,76613399999,remote,F6804"
"Tequila, Mexico",12,6,2021,,79.1,46.3,63.1,79.1,46.3,63.1,49.3,65.5,0,0,0,,,6.9,232.4,1019,63.1,6.7,184.2,15.7,7,,2021-12-06T07:19:12,2021-12-06T18:13:59,0.08,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,7,2021,,79.6,46.5,63.8,79.6,45.4,63.8,44.6,53.3,0,0,0,,,9.2,305.6,1018.2,47,8.9,200.3,17.2,8,,2021-12-07T07:19:50,2021-12-07T18:14:13,0.12,Partially cloudy,Becoming cloudy in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,8,2021,,81.6,45.6,63.7,79.6,45.6,63.5,41.4,47.7,0,0,0,,,8.9,312.4,1016.9,40.2,7.6,203.2,17.4,7,,2021-12-08T07:20:28,2021-12-08T18:14:29,0.15,Partially cloudy,Clearing in the afternoon.,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",12,9,2021,,80.5,42.3,63.7,79.1,42.3,63.5,39,44,0,0,0,,,8.9,307.7,1017.9,54.6,8.4,203.8,17.6,7,,2021-12-09T07:21:05,2021-12-09T18:14:45,0.18,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76612099999,remote,F6804"
"Tequila, Mexico",12,10,2021,,78.6,42.7,60.6,78.6,42.7,60.6,37.7,47.1,0,0,0,,26.8,10.8,314.2,1018.4,60.7,8.1,179.7,15.7,7,,2021-12-10T07:21:42,2021-12-10T18:15:03,0.25,Partially cloudy,Partly cloudy throughout the day.,"MMGL,76613399999,76612099999,remote,F6804"
