title,Date20,YR2020,AC20,AP20,YR20,Date21,YR2021,AC21,AP21,YR21,YR2022,AC22,AP22,YR22,PATTL,PROJ23,ACT23
100 Aos Aejo,1/1/2020,2020,66,60,63,1/1/2021,2021,71,58,65,2022,64,66,65,61.33333333,61,61
100 Aos Blanco,1/1/2020,2020,56,27,42,1/1/2021,2021,58,77,68,2022,61,26,44,43.33333333,43,43
100 Aos Reposado,1/1/2020,2020,66,62,64,1/1/2021,2021,71,58,65,2022,67,63,65,61,61,61
123 Organic Extra Aejo (Diablito),1/1/2020,2020,89,89,89,1/1/2021,2021,90,91,91,2022,93,93,93,91,91,91
123 Organic Tequila Aejo,1/1/2020,2020,84,83,84,1/1/2021,2021,86,85,86,2022,88,87,88,85,85,85
123 Organic Tequila Blanco,1/1/2020,2020,83,85,84,1/1/2021,2021,89,89,89,2022,81,82,82,85.33333333,85,85
123 Organic Tequila Diablito Rojo Extra Aejo,1/1/2020,2020,90,92,91,1/1/2021,2021,93,86,90,2022,88,99,94,92.33333333,92,92
123 Organic Tequila Reposado,1/1/2020,2020,86,86,86,1/1/2021,2021,87,89,88,2022,94,91,93,88.66666667,89,88
1519 Organic Tequila Aejo,1/1/2020,2020,84,85,85,1/1/2021,2021,83,85,84,2022,88,82,85,84,84,84
1519 Organic Tequila Blanco,1/1/2020,2020,81,79,80,1/1/2021,2021,89,77,83,2022,88,82,85,79.33333333,79,79
1519 Organic Tequila Reposado,1/1/2020,2020,83,84,84,1/1/2021,2021,79,88,84,2022,87,85,86,85.66666667,86,85
1519 Tequila Aejo,1/1/2020,2020,81,76,79,1/1/2021,2021,87,72,80,2022,80,78,79,75.33333333,75,75
1519 Tequila Reposado,1/1/2020,2020,84,81,83,1/1/2021,2021,92,81,87,2022,92,77,85,79.66666667,80,79
1800 Aejo,1/1/2020,2020,76,74,75,1/1/2021,2021,71,75,73,2022,73,79,76,76,76,76
1800 Black Label Select Silver,1/1/2020,2020,59,50,55,1/1/2021,2021,62,54,58,2022,55,48,52,50.66666667,51,50
1800 Coleccin Extra Aejo,1/1/2020,2020,83,77,80,1/1/2021,2021,82,80,81,2022,90,83,87,80,80,80
1800 Cristalino Aejo,1/1/2020,2020,79,65,72,1/1/2021,2021,80,62,71,2022,79,68,74,65,65,65
1800 Edicion del Nuevo Milenio Aejo,1/1/2020,2020,84,85,85,1/1/2021,2021,90,90,90,2022,87,91,89,88.66666667,89,88
1800 Reposado,1/1/2020,2020,69,60,65,1/1/2021,2021,70,60,65,2022,73,59,66,59.66666667,60,59
1800 Silver,1/1/2020,2020,67,64,66,1/1/2021,2021,73,62,68,2022,71,65,68,63.66666667,64,63
1824 Aejo,1/1/2020,2020,89,89,89,1/1/2021,2021,96,87,92,2022,89,88,89,88,88,88
1824 Blanco,1/1/2020,2020,85,90,88,1/1/2021,2021,82,94,88,2022,89,92,91,92,92,92
1824 Reposado,1/1/2020,2020,82,89,86,1/1/2021,2021,89,90,90,2022,86,95,91,91.33333333,91,91
1921 Aejo,1/1/2020,2020,82,83,83,1/1/2021,2021,89,85,87,2022,79,87,83,85,85,85
1921 Blanco,1/1/2020,2020,77,78,78,1/1/2021,2021,77,76,77,2022,75,81,78,78.33333333,78,78
1921 Crema de Tequila,1/1/2020,2020,87,86,87,1/1/2021,2021,89,80,85,2022,94,84,89,83.33333333,83,83
1921 Extra Aejo Tequila Edicion Limitada,1/1/2020,2020,82,84,83,1/1/2021,2021,84,81,83,2022,84,80,82,81.66666667,82,81
1921 Reposado,1/1/2020,2020,83,83,83,1/1/2021,2021,78,86,82,2022,82,83,83,84,84,84
1921 Reserva Especial Reposado,1/1/2020,2020,88,90,89,1/1/2021,2021,84,87,86,2022,88,92,90,89.66666667,90,89
